age,education,default,balance,housing,loan,day,duration,campaign,pdays,previous,deposit,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,contact_cellular,contact_telephone,contact_unknown,month_apr,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown,contacted_before,balance_bin,contact_intensity,age_group
1.491504880292054,2,0,0.25252514336959164,1,0,-1.2657455558897757,1.9302258878699305,-0.5541683439582252,-0.48118405401369996,-0.3632598446560345,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1042.0,3
1.2396756668140116,2,0,-0.459973601201242,0,0,-1.2657455558897757,3.154611609622702,-0.5541683439582252,-0.48118405401369996,-0.3632598446560345,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1467.0,3
-0.01947040057620028,2,0,-0.08016030176726845,1,0,-1.2657455558897757,2.9299008183363107,-0.5541683439582252,-0.48118405401369996,-0.3632598446560345,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1389.0,2
1.1557325956546642,2,0,0.2937620158795659,1,0,-1.2657455558897757,0.5963656780545588,-0.5541683439582252,-0.48118405401369996,-0.3632598446560345,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,579.0,2
1.0717895244953168,3,0,-0.4168764186532238,0,0,-1.2657455558897757,0.8671709906304658,-0.18678537458947125,-0.48118405401369996,-0.3632598446560345,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,336.5,2
0.06447267058314718,3,0,-0.47392592648657167,1,1,-1.2657455558897757,0.5473902491844479,-0.18678537458947125,-0.48118405401369996,-0.3632598446560345,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,281.0,2
1.2396756668140116,3,0,-0.2165830378904916,1,1,-1.1469858207168955,2.388290193184497,-0.5541683439582252,-0.48118405401369996,-0.3632598446560345,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1201.0,3
1.5754479514514015,2,0,-0.30494776469757934,1,0,-1.1469858207168955,1.8956549969027934,-0.5541683439582252,-0.48118405401369996,-0.3632598446560345,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1030.0,3
-0.35524268521359015,2,0,-0.4736158748135643,1,0,-1.1469858207168955,0.6799119978918067,-0.5541683439582252,-0.48118405401369996,-0.3632598446560345,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,608.0,1
-1.1107303256477175,2,0,1.1042370891207143,1,0,-1.1469858207168955,2.6648573209215933,0.1805975947792827,-0.48118405401369996,-0.3632598446560345,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,432.33,0
-0.2712996140542427,2,0,-0.4429207591858391,1,0,-1.0282260855440155,1.192713547237673,-0.5541683439582252,-0.48118405401369996,-0.3632598446560345,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,786.0,1
-0.9428441833290224,2,0,-0.3781199595273081,1,0,-1.0282260855440155,3.4628687207463407,-0.18678537458947125,-0.48118405401369996,-0.3632598446560345,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,787.0,0
-1.0267872544883698,3,0,-0.4122256435581139,1,1,-1.0282260855440155,3.794173092514738,0.5479805641480366,-0.48118405401369996,-0.3632598446560345,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,422.25,0
0.40024495522053705,3,0,-0.33130215690320197,1,0,-1.0282260855440155,2.1030803427056157,-0.18678537458947125,-0.48118405401369996,-0.3632598446560345,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,551.0,2
